project, filepath_prev, filepath_curr, disc_prev, undisc_prev,disc_curr, undisc_curr
postgres,processing/prev_ver/src/bin/initdb/initdb.c,processing/curr_ver/src/bin/initdb/initdb.c,25,3,40,1
postgres,processing/prev_ver/src/test/regress/pg_regress.c,processing/curr_ver/src/test/regress/pg_regress.c,26,2,30,2
postgres,processing/prev_ver/src/test/regress/regress.c,processing/curr_ver/src/test/regress/regress.c,1,0,3,0
postgres,processing/prev_ver/src/test/thread/thread_test.c,processing/curr_ver/src/test/thread/thread_test.c,46,8,38,8
postgres,processing/prev_ver/src/backend/access/hash/hashsort.c,processing/curr_ver/src/backend/access/hash/hashsort.c,0,0,2,0
postgres,processing/prev_ver/src/backend/access/hash/hashfunc.c,processing/curr_ver/src/backend/access/hash/hashfunc.c,8,0,0,2
postgres,processing/prev_ver/src/backend/access/hash/hash.c,processing/curr_ver/src/backend/access/hash/hash.c,1,0,0,0
postgres,processing/prev_ver/src/backend/access/hash/hashutil.c,processing/curr_ver/src/backend/access/hash/hashutil.c,2,0,1,0
postgres,processing/prev_ver/src/backend/access/transam/slru.c,processing/curr_ver/src/backend/access/transam/slru.c,0,0,1,0
postgres,processing/prev_ver/src/backend/access/transam/xlog.c,processing/curr_ver/src/backend/access/transam/xlog.c,31,2,27,0
postgres,processing/prev_ver/src/backend/access/transam/multixact.c,processing/curr_ver/src/backend/access/transam/multixact.c,2,0,0,0
postgres,processing/prev_ver/src/backend/access/gist/gist.c,processing/curr_ver/src/backend/access/gist/gist.c,1,0,0,0
postgres,processing/prev_ver/src/backend/access/nbtree/nbtree.c,processing/curr_ver/src/backend/access/nbtree/nbtree.c,2,0,0,0
postgres,processing/prev_ver/src/backend/access/nbtree/nbtpage.c,processing/curr_ver/src/backend/access/nbtree/nbtpage.c,0,0,1,0
postgres,processing/prev_ver/src/backend/access/nbtree/nbtsort.c,processing/curr_ver/src/backend/access/nbtree/nbtsort.c,1,0,7,0
postgres,processing/prev_ver/src/backend/access/nbtree/nbtutils.c,processing/curr_ver/src/backend/access/nbtree/nbtutils.c,0,0,3,0
postgres,processing/prev_ver/src/backend/access/common/reloptions.c,processing/curr_ver/src/backend/access/common/reloptions.c,0,0,0,4
postgres,processing/prev_ver/src/backend/access/common/heaptuple.c,processing/curr_ver/src/backend/access/common/heaptuple.c,4,0,1,0
postgres,processing/prev_ver/src/backend/access/common/indextuple.c,processing/curr_ver/src/backend/access/common/indextuple.c,8,2,6,2
postgres,processing/prev_ver/src/backend/access/gin/gininsert.c,processing/curr_ver/src/backend/access/gin/gininsert.c,1,0,0,0
postgres,processing/prev_ver/src/backend/access/gin/ginxlog.c,processing/curr_ver/src/backend/access/gin/ginxlog.c,0,0,2,0
postgres,processing/prev_ver/src/backend/access/gin/ginscan.c,processing/curr_ver/src/backend/access/gin/ginscan.c,1,0,0,0
postgres,processing/prev_ver/src/backend/access/heap/heapam.c,processing/curr_ver/src/backend/access/heap/heapam.c,3,0,7,0
postgres,processing/prev_ver/src/backend/catalog/heap.c,processing/curr_ver/src/backend/catalog/heap.c,0,0,1,0
postgres,processing/prev_ver/src/backend/catalog/indexing.c,processing/curr_ver/src/backend/catalog/indexing.c,0,0,3,0
postgres,processing/prev_ver/src/backend/catalog/pg_shdepend.c,processing/curr_ver/src/backend/catalog/pg_shdepend.c,1,0,0,0
postgres,processing/prev_ver/src/backend/catalog/aclchk.c,processing/curr_ver/src/backend/catalog/aclchk.c,5,0,0,0
postgres,processing/prev_ver/src/backend/nodes/read.c,processing/curr_ver/src/backend/nodes/read.c,0,1,5,0
postgres,processing/prev_ver/src/backend/nodes/nodeFuncs.c,processing/curr_ver/src/backend/nodes/nodeFuncs.c,0,0,1,0
postgres,processing/prev_ver/src/backend/nodes/list.c,processing/curr_ver/src/backend/nodes/list.c,2,0,13,0
postgres,processing/prev_ver/src/backend/main/main.c,processing/curr_ver/src/backend/main/main.c,17,0,9,0
postgres,processing/prev_ver/src/backend/postmaster/pgstat.c,processing/curr_ver/src/backend/postmaster/pgstat.c,15,2,34,2
postgres,processing/prev_ver/src/backend/postmaster/walwriter.c,processing/curr_ver/src/backend/postmaster/walwriter.c,3,0,0,0
postgres,processing/prev_ver/src/backend/postmaster/syslogger.c,processing/curr_ver/src/backend/postmaster/syslogger.c,34,3,30,3
postgres,processing/prev_ver/src/backend/postmaster/bgwriter.c,processing/curr_ver/src/backend/postmaster/bgwriter.c,3,0,0,0
postgres,processing/prev_ver/src/backend/postmaster/pgarch.c,processing/curr_ver/src/backend/postmaster/pgarch.c,7,2,5,2
postgres,processing/prev_ver/src/backend/postmaster/autovacuum.c,processing/curr_ver/src/backend/postmaster/autovacuum.c,9,4,7,4
postgres,processing/prev_ver/src/backend/postmaster/postmaster.c,processing/curr_ver/src/backend/postmaster/postmaster.c,68,5,102,7
